check type,description,command,status,uid,diagnostic,objective,org-name,repo-name,file-name,amount_correct,percentage_score,report_time
Command,Pass the linting checks run by flake8,cd fibonaccicreator && poetry run task flake8,true,2zdwxa4w1RzMTPppmcTgrA==,,lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230709-04-01,41,91,2023-07-08 20:01:28
Command,Pass the linting checks run by pymarkdown,cd fibonaccicreator && poetry run task markdownlint,true,wC69ew7NwVXVb1dj2hr23w==,,lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230709-03-58,26,58,2023-07-08 19:58:27
Command,Pass the linting checks run by flake8,cd fibonaccicreator && poetry run task flake8,false,p5K7+j/WnpdDSeiVoM6iFA==,fibonaccicreator/fibonacci.py:13:45: F821 undefined name 'List'	     fibonaccicreator/fibonacci.py:23:46: F821 undefined name 'Tuple'	     fibonaccicreator/fibonacci.py:35:46: F821 undefined name 'Tuple'	     fibonaccicreator/fibonacci.py:50:45: F821 undefined name 'List',lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230707-22,24,53,2023-07-07 14:38:25
Command,Pass the linting checks run by pymarkdown,cd fibonaccicreator && poetry run task markdownlint,true,33x/IdA+veSNbwwV+sZAeg==,,lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230707-22-44,24,53,2023-07-07 14:44:16
Command,Pass the source code formatting checks run by black,cd fibonaccicreator && poetry run task black,false,b6vKWo8XetQV73efl+7ZIA==,"would reformat /home/runner/work/fibonacci-algorithms-Yanqiao4396/fibonacci-algorithms-Yanqiao4396/fibonaccicreator/fibonaccicreator/main.py	     	     Oh no! 💥 💔 💥	     1 file would be reformatted, 4 files would be left unchanged.",lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230707-23-03,24,53,2023-07-07 15:03:46
Command,Pass the source code formatting checks run by black,cd fibonaccicreator && poetry run task black,true,2zdwxa4w1RzMTPppmcTgrA==,,lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230709-04-01,41,91,2023-07-08 20:01:28
Command,Pass the linting checks run by flake8,cd fibonaccicreator && poetry run task flake8,false,b6vKWo8XetQV73efl+7ZIA==,fibonaccicreator/fibonacci.py:13:45: F821 undefined name 'List'	     fibonaccicreator/fibonacci.py:23:46: F821 undefined name 'Tuple'	     fibonaccicreator/fibonacci.py:35:46: F821 undefined name 'Tuple'	     fibonaccicreator/fibonacci.py:50:45: F821 undefined name 'List',lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230707-23-03,24,53,2023-07-07 15:03:46
Command,Pass the linting checks run by pylint,cd fibonaccicreator && poetry run task pylint,true,Rc9Hc3YcbAwPRaxiorY2XA==,,lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230709-04-35,42,93,2023-07-08 20:35:26
Command,Pass the linting checks run by flake8,cd fibonaccicreator && poetry run task flake8,false,33x/IdA+veSNbwwV+sZAeg==,fibonaccicreator/fibonacci.py:13:45: F821 undefined name 'List'	     fibonaccicreator/fibonacci.py:23:46: F821 undefined name 'Tuple'	     fibonaccicreator/fibonacci.py:35:46: F821 undefined name 'Tuple'	     fibonaccicreator/fibonacci.py:50:45: F821 undefined name 'List',lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230707-22-44,24,53,2023-07-07 14:44:16
Command,Pass the source code formatting checks run by black,cd fibonaccicreator && poetry run task black,false,33x/IdA+veSNbwwV+sZAeg==,"would reformat /home/runner/work/fibonacci-algorithms-Yanqiao4396/fibonacci-algorithms-Yanqiao4396/fibonaccicreator/fibonaccicreator/main.py	     	     Oh no! 💥 💔 💥	     1 file would be reformatted, 4 files would be left unchanged.",lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230707-22-44,24,53,2023-07-07 14:44:16
