check type,description,command,count,exact,status,diagnostic,uid,objective,org-name,repo-name,file-name,amount_correct,percentage_score,report_time,fragment,path,language,tag
CountCommandOutput,Run the program and check the correct number of output lines,python source/create-dog-with-dictionary.py,7,true,false,Found 1 line(s) in the file or the output,nS+BKKonuI3r3x6z9BOXLw==,,allegheny-haunted-classroom,object-oriented-Yanqiao4396,insight-20230707-22,13,59,2023-07-07 14:57:43,,,,
CountCommandOutput,Run the fibonaccicreator program and ensure that it produces a correct minimum number of lines with iterative tuple,cd fibonaccicreator && poetry run fibonaccicreator --number 1000 --approach iterativetuple,3,false,false,Found 0 line(s) in the file or the output,p5K7+j/WnpdDSeiVoM6iFA==,tuple,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230707-22,24,53,2023-07-07 14:38:25,,,,
CountCommandOutput,Run the program and check the correct number of output lines,python source/create-dog-with-dictionary.py,7,true,false,Found 1 line(s) in the file or the output,mZPZSbWInH7C7NJAM+UA3w==,,allegheny-haunted-classroom,object-oriented-Yanqiao4396,insight-20230629-00,12,55,,,,,
CountCommandOutput,Run the fibonaccicreator program and ensure that it produces a correct minimum number of lines with iterative tuple,cd fibonaccicreator && poetry run fibonaccicreator --number 1000 --approach iterativetuple,3,false,false,Found 0 line(s) in the file or the output,33x/IdA+veSNbwwV+sZAeg==,tuple,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230707-22-44,24,53,2023-07-07 14:44:16,,,,
CountCommandOutput,Run the fibonaccicreator program and ensure that it produces a correct minimum number of lines with iterative tuple,cd fibonaccicreator && poetry run fibonaccicreator --number 1000 --approach iterativetuple,3,false,false,Found 0 line(s) in the file or the output,b6vKWo8XetQV73efl+7ZIA==,tuple,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230707-23-03,24,53,2023-07-07 15:03:46,,,,
CountCommandOutput,Run the program and check the correct number of output lines,python source/create-dog-with-class.py,13,true,false,Found 0 line(s) in the file or the output,mZPZSbWInH7C7NJAM+UA3w==,,allegheny-haunted-classroom,object-oriented-Yanqiao4396,insight-20230629-00,12,55,,,,,
CountCommandOutput,Run the fibonaccicreator program and ensure that it produces a correct minimum number of lines with iterative list,cd fibonaccicreator && poetry run fibonaccicreator --number 1000 --approach iterativelist,3,false,false,Found 0 line(s) in the file or the output,33x/IdA+veSNbwwV+sZAeg==,list,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230707-22-44,24,53,2023-07-07 14:44:16,,,,
CountCommandOutput,Run the fibonaccicreator program and ensure that it produces a correct minimum number of lines with iterative tuple,cd fibonaccicreator && poetry run fibonaccicreator --number 1000 --approach iterativetuple,3,false,false,Found 0 line(s) in the file or the output,wC69ew7NwVXVb1dj2hr23w==,tuple,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230709-03-58,26,58,2023-07-08 19:58:27,,,,
CountCommandOutput,Run the fibonaccicreator program and ensure that it produces a correct minimum number of lines with iterative list,cd fibonaccicreator && poetry run fibonaccicreator --number 1000 --approach iterativelist,3,false,false,Found 0 line(s) in the file or the output,b6vKWo8XetQV73efl+7ZIA==,list,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230707-23-03,24,53,2023-07-07 15:03:46,,,,
CountCommandOutput,Run the program and check the correct number of output lines,python source/create-dog-with-list.py,7,true,false,Found 1 line(s) in the file or the output,nS+BKKonuI3r3x6z9BOXLw==,,allegheny-haunted-classroom,object-oriented-Yanqiao4396,insight-20230707-22,13,59,2023-07-07 14:57:43,,,,
CountCommandOutput,Run the fibonaccicreator program and ensure that it produces a correct minimum number of lines with iterative list,cd fibonaccicreator && poetry run fibonaccicreator --number 1000 --approach iterativelist,3,false,false,Found 0 line(s) in the file or the output,wC69ew7NwVXVb1dj2hr23w==,list,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230709-03-58,26,58,2023-07-08 19:58:27,,,,
CountCommandOutput,Run the program and check the correct number of output lines,python source/create-dog-with-class.py,13,true,false,Found 0 line(s) in the file or the output,nS+BKKonuI3r3x6z9BOXLw==,,allegheny-haunted-classroom,object-oriented-Yanqiao4396,insight-20230707-22,13,59,2023-07-07 14:57:43,,,,
CountCommandOutput,Run the fibonaccicreator program and ensure that it produces a correct minimum number of lines with iterative list,cd fibonaccicreator && poetry run fibonaccicreator --number 1000 --approach iterativelist,3,false,false,Found 0 line(s) in the file or the output,p5K7+j/WnpdDSeiVoM6iFA==,list,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230707-22,24,53,2023-07-07 14:38:25,,,,
CountCommandOutput,Run the program and check the correct number of output lines,python source/create-dog-with-list.py,7,true,false,Found 1 line(s) in the file or the output,mZPZSbWInH7C7NJAM+UA3w==,,allegheny-haunted-classroom,object-oriented-Yanqiao4396,insight-20230629-00,12,55,,,,,
