description,command,status,uid,diagnostic,objective
Pass the linting checks run by flake8,cd fibonaccicreator && poetry run task flake8,true,2zdwxa4w1RzMTPppmcTgrA==,,lint
Pass all of the Pytest test cases,cd fibonaccicreator && poetry run task test,false,b6vKWo8XetQV73efl+7ZIA==,"============================= test session starts ==============================	     platform linux -- Python 3.10.12, pytest-7.1.3, pluggy-1.0.0	     rootdir: /home/runner/work/fibonacci-algorithms-Yanqiao4396/fibonacci-algorithms-Yanqiao4396/fibonaccicreator	     collected 0 items / 1 error	     	     ==================================== ERRORS ====================================	     ___________________ ERROR collecting tests/test_fibonacci.py ___________________	     tests/test_fibonacci.py:13: in <module>	         from fibonaccicreator import fibonacci	     fibonaccicreator/fibonacci.py:13: in <module>	         def fibonacci_recursivelist(number: int) -> List[int]:	     E   NameError: name 'List' is not defined	     =========================== short test summary info ============================	     ERROR tests/test_fibonacci.py - NameError: name 'List' is not defined	     !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!!	     !!!!!!!!!!!!!!!!!!!! Interrupted: 1 error during collection !!!!!!!!!!!!!!!!!!!!	     =============================== 1 error in 0.47s ===============================",test
Pass the linting checks run by pydocstyle,cd contactsearcher && poetry run task pydocstyle,true,cZdEgIWQoeIofDdrYH/Afg==,,
Run the fibonaccicreator program and ensure that it does not crash with iterative tuple,cd fibonaccicreator && poetry run fibonaccicreator --number 1000 --approach iterativetuple,false,p5K7+j/WnpdDSeiVoM6iFA==,"Traceback (most recent call last):	       File ""<string>"", line 1, in <module>	       File ""/opt/hostedtoolcache/Python/3.10.12/x64/lib/python3.10/importlib/__init__.py"", line 126, in import_module	         return _bootstrap._gcd_import(name[level:], package, level)	       File ""<frozen importlib._bootstrap>"", line 1050, in _gcd_import	       File ""<frozen importlib._bootstrap>"", line 1027, in _find_and_load	       File ""<frozen importlib._bootstrap>"", line 1006, in _find_and_load_unlocked	       File ""<frozen importlib._bootstrap>"", line 688, in _load_unlocked	       File ""<frozen importlib._bootstrap_external>"", line 883, in exec_module	       File ""<frozen importlib._bootstrap>"", line 241, in _call_with_frames_removed	       File ""/home/runner/work/fibonacci-algorithms-Yanqiao4396/fibonacci-algorithms-Yanqiao4396/fibonaccicreator/fibonaccicreator/main.py"", line 22, in <module>	         from fibonaccicreator import fibonacci	       File ""/home/runner/work/fibonacci-algorithms-Yanqiao4396/fibonacci-algorithms-Yanqiao4396/fibonaccicreator/fibonaccicreator/fibonacci.py"", line 13, in <module>	         def fibonacci_recursivelist(number: int) -> List[int]:	     NameError: name 'List' is not defined. Did you mean: 'list'?",
Pass the linting checks run by pymarkdown,cd fibonaccicreator && poetry run task markdownlint,true,wC69ew7NwVXVb1dj2hr23w==,,lint
Pass the linting checks run by flake8,cd fibonaccicreator && poetry run task flake8,false,p5K7+j/WnpdDSeiVoM6iFA==,fibonaccicreator/fibonacci.py:13:45: F821 undefined name 'List'	     fibonaccicreator/fibonacci.py:23:46: F821 undefined name 'Tuple'	     fibonaccicreator/fibonacci.py:35:46: F821 undefined name 'Tuple'	     fibonaccicreator/fibonacci.py:50:45: F821 undefined name 'List',lint
Pass the linting checks run by pymarkdown,cd fibonaccicreator && poetry run task markdownlint,true,33x/IdA+veSNbwwV+sZAeg==,,lint
Pass the source code formatting checks run by black,cd fibonaccicreator && poetry run task black,false,b6vKWo8XetQV73efl+7ZIA==,"would reformat /home/runner/work/fibonacci-algorithms-Yanqiao4396/fibonacci-algorithms-Yanqiao4396/fibonaccicreator/fibonaccicreator/main.py	     	     Oh no! 💥 💔 💥	     1 file would be reformatted, 4 files would be left unchanged.",lint
Pass the source code formatting checks run by black,cd fibonaccicreator && poetry run task black,true,2zdwxa4w1RzMTPppmcTgrA==,,lint
Pass all of the Pytest test cases,cd fibonaccicreator && poetry run task test,false,wC69ew7NwVXVb1dj2hr23w==,"============================= test session starts ==============================	     platform linux -- Python 3.10.12, pytest-7.1.3, pluggy-1.0.0	     rootdir: /home/runner/work/fibonacci-algorithms-Yanqiao4396/fibonacci-algorithms-Yanqiao4396/fibonaccicreator	     collected 0 items / 1 error	     	     ==================================== ERRORS ====================================	     ___________________ ERROR collecting tests/test_fibonacci.py ___________________	     tests/test_fibonacci.py:13: in <module>	         from fibonaccicreator import fibonacci	     fibonaccicreator/fibonacci.py:13: in <module>	         def fibonacci_recursivelist(number: int) -> List[int]:	     E   NameError: name 'List' is not defined	     =========================== short test summary info ============================	     ERROR tests/test_fibonacci.py - NameError: name 'List' is not defined	     !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!!	     !!!!!!!!!!!!!!!!!!!! Interrupted: 1 error during collection !!!!!!!!!!!!!!!!!!!!	     =============================== 1 error in 0.62s ===============================",test
