description,status,uid,path
Ensure that the create-dog-with-dictionary.py file exists in the source/ directory,true,mZPZSbWInH7C7NJAM+UA3w==,
Ensure that the create-dog-with-class.py file exists in the source/ directory,true,mZPZSbWInH7C7NJAM+UA3w==,
Ensure that the create-dog-with-class.py file exists in the source/ directory,true,nS+BKKonuI3r3x6z9BOXLw==,source/create-dog-with-class.py
Ensure that the test_fibonacci.py file exists in the fibonaccicreator/fibonaccicreator/test/ directory,true,Rc9Hc3YcbAwPRaxiorY2XA==,fibonaccicreator/tests/test_fibonacci.py
Ensure that the reflection.md file exists in the writing/ directory,true,nS+BKKonuI3r3x6z9BOXLw==,writing/reflection.md
Ensure that the main.py file exists in the fibonaccicreator/fibonaccicreator/ directory,true,p5K7+j/WnpdDSeiVoM6iFA==,fibonaccicreator/fibonaccicreator/main.py
Ensure that the review.md file exists in the writing/ directory,true,etStjSr28Qe6nwdZLHSAew==,writing/review.md
Ensure that the main.py file exists in the fibonaccicreator/fibonaccicreator/ directory,true,33x/IdA+veSNbwwV+sZAeg==,fibonaccicreator/fibonaccicreator/main.py
Ensure that the fibonacci.py file exists in the fibonaccicreator/fibonaccicreator/ directory,true,p5K7+j/WnpdDSeiVoM6iFA==,fibonaccicreator/fibonaccicreator/fibonacci.py
Ensure that search.py file exists in the contactsearcher/contactsearcher/ directory,true,cZdEgIWQoeIofDdrYH/Afg==,
Ensure that the fibonacci.py file exists in the fibonaccicreator/fibonaccicreator/ directory,true,33x/IdA+veSNbwwV+sZAeg==,fibonaccicreator/fibonaccicreator/fibonacci.py
Ensure that the reflection.md file exists in the writing/ directory,true,Rc9Hc3YcbAwPRaxiorY2XA==,writing/reflection.md
Ensure that the reflection.md file exists in the writing/ directory,true,cZdEgIWQoeIofDdrYH/Afg==,
Ensure that the create-dog-with-list.py file exists in the source/ directory,true,mZPZSbWInH7C7NJAM+UA3w==,
Ensure that the reflection.md file exists in the writing/ directory,true,mZPZSbWInH7C7NJAM+UA3w==,
Ensure that the create-dog-with-list.py file exists in the source/ directory,true,nS+BKKonuI3r3x6z9BOXLw==,source/create-dog-with-list.py
Ensure that the fibonacci.py file exists in the fibonaccicreator/fibonaccicreator/ directory,true,2zdwxa4w1RzMTPppmcTgrA==,fibonaccicreator/fibonaccicreator/fibonacci.py
Ensure that the main.py file exists in the fibonaccicreator/fibonaccicreator/ directory,true,Rc9Hc3YcbAwPRaxiorY2XA==,fibonaccicreator/fibonaccicreator/main.py
Ensure that the reflection.md file exists in the writing/ directory,true,2zdwxa4w1RzMTPppmcTgrA==,writing/reflection.md
Ensure that the reflection.md file exists in the writing/ directory,true,wC69ew7NwVXVb1dj2hr23w==,writing/reflection.md
Ensure that the fibonacci.py file exists in the fibonaccicreator/fibonaccicreator/ directory,true,wC69ew7NwVXVb1dj2hr23w==,fibonaccicreator/fibonaccicreator/fibonacci.py
Ensure that test_search.py file exists in the contactsearcher/tests/ directory,true,cZdEgIWQoeIofDdrYH/Afg==,
Ensure that the main.py file exists in the fibonaccicreator/fibonaccicreator/ directory,true,b6vKWo8XetQV73efl+7ZIA==,fibonaccicreator/fibonaccicreator/main.py
Ensure that the test_fibonacci.py file exists in the fibonaccicreator/fibonaccicreator/test/ directory,true,b6vKWo8XetQV73efl+7ZIA==,fibonaccicreator/tests/test_fibonacci.py
Ensure that the fibonacci.py file exists in the fibonaccicreator/fibonaccicreator/ directory,true,b6vKWo8XetQV73efl+7ZIA==,fibonaccicreator/fibonaccicreator/fibonacci.py
Ensure that the fibonacci.py file exists in the fibonaccicreator/fibonaccicreator/ directory,true,Rc9Hc3YcbAwPRaxiorY2XA==,fibonaccicreator/fibonaccicreator/fibonacci.py
Ensure that the reflection.md file exists in the writing/ directory,true,33x/IdA+veSNbwwV+sZAeg==,writing/reflection.md
Ensure that the test_fibonacci.py file exists in the fibonaccicreator/fibonaccicreator/test/ directory,true,p5K7+j/WnpdDSeiVoM6iFA==,fibonaccicreator/tests/test_fibonacci.py
Ensure that the review.md file exists in the writing/ directory,true,e3xQoIBn3JNKWAA3CFsBDQ==,
Ensure that the review.md file exists in the writing/ directory,true,ZoVZb/cfVDFEZusZmwHoZw==,
Ensure that the reflection.md file exists in the writing/ directory,true,p5K7+j/WnpdDSeiVoM6iFA==,writing/reflection.md
Ensure that the review.md file exists in the writing/ directory,true,jXWJ09jdaXPRqtmSdda6IA==,writing/review.md
Ensure that the test_fibonacci.py file exists in the fibonaccicreator/fibonaccicreator/test/ directory,true,33x/IdA+veSNbwwV+sZAeg==,fibonaccicreator/tests/test_fibonacci.py
Ensure that the create-dog-with-dictionary.py file exists in the source/ directory,true,nS+BKKonuI3r3x6z9BOXLw==,source/create-dog-with-dictionary.py
Ensure that main.py file exists in the contactsearcher/contactsearcher/ directory,true,cZdEgIWQoeIofDdrYH/Afg==,
Ensure that the main.py file exists in the fibonaccicreator/fibonaccicreator/ directory,true,wC69ew7NwVXVb1dj2hr23w==,fibonaccicreator/fibonaccicreator/main.py
Ensure that the review.md file exists in the writing/ directory,true,inxu6J85kI1o0GMSeSb7NQ==,writing/review.md
Ensure that the main.py file exists in the fibonaccicreator/fibonaccicreator/ directory,true,2zdwxa4w1RzMTPppmcTgrA==,fibonaccicreator/fibonaccicreator/main.py
Ensure that the test_fibonacci.py file exists in the fibonaccicreator/fibonaccicreator/test/ directory,true,2zdwxa4w1RzMTPppmcTgrA==,fibonaccicreator/tests/test_fibonacci.py
