description,fragment,count,exact,status,diagnostic,uid,path,objective
Delete the 'Add Your Name Here' prompt in the reflection file,Add Your Name Here,0,true,false,Found 1 fragment(s) in the reflection.md or the output while expecting exactly 0,mZPZSbWInH7C7NJAM+UA3w==,,
"Complete all TODOs, remove the TODO markers, and rewrite comments for the reflection",TODO,0,true,true,,p5K7+j/WnpdDSeiVoM6iFA==,writing/reflection.md,TODO
Use the append function to add a value to an existing list in fibonacci.py,append(,1,false,false,Found 0 fragment(s) in the fibonacci.py or the output while expecting at least 1,p5K7+j/WnpdDSeiVoM6iFA==,fibonaccicreator/fibonaccicreator/fibonacci.py,
Use the append function to add a value to an existing list in fibonacci.py,append(,1,false,false,Found 0 fragment(s) in the fibonacci.py or the output while expecting at least 1,33x/IdA+veSNbwwV+sZAeg==,fibonaccicreator/fibonaccicreator/fibonacci.py,
"Complete all TODOs, remove the TODO markers, and rewrite comments for test_fibonacci.py",TODO,0,true,false,Found 2 fragment(s) in the test_fibonacci.py or the output while expecting exactly 0,wC69ew7NwVXVb1dj2hr23w==,fibonaccicreator/tests/test_fibonacci.py,
"Complete all TODOs, remove the TODO markers, and rewrite comments for create-dog-with-list.py",TODO,0,true,true,,nS+BKKonuI3r3x6z9BOXLw==,source/create-dog-with-list.py,
Import the List type annotation from the typing package in fibonacci.py,from typing import List,1,false,false,Found 0 fragment(s) in the fibonacci.py or the output while expecting at least 1,wC69ew7NwVXVb1dj2hr23w==,fibonaccicreator/fibonaccicreator/fibonacci.py,
"Complete all TODOs, remove the TODO markers, and rewrite comments for main.py",TODO,0,true,false,Found 6 fragment(s) in the main.py or the output while expecting exactly 0,cZdEgIWQoeIofDdrYH/Afg==,,
"Complete all TODOs, remove the TODO markers, and rewrite comments for fibonacci.py",TODO,0,true,true,,2zdwxa4w1RzMTPppmcTgrA==,fibonaccicreator/fibonaccicreator/fibonacci.py,
Import the Tuple type annotation from the typing package in fibonacci.py,from typing import Tuple,1,false,false,Found 0 fragment(s) in the fibonacci.py or the output while expecting at least 1,wC69ew7NwVXVb1dj2hr23w==,fibonaccicreator/fibonaccicreator/fibonacci.py,
Return a tuple that only contains the values 0 and 1 inside of it in fibonacci.py,"return (0, 1)",1,false,false,Found 0 fragment(s) in the fibonacci.py or the output while expecting at least 1,wC69ew7NwVXVb1dj2hr23w==,fibonaccicreator/fibonaccicreator/fibonacci.py,
Delete the 'Add Your Name Here' prompt in the reflection file,Add Your Name Here,0,true,true,,jXWJ09jdaXPRqtmSdda6IA==,writing/review.md,
"Complete all TODOs, remove the TODO markers, and rewrite comments for review.md",TODO,0,true,false,Found 1 fragment(s) in the review.md or the output while expecting exactly 0,ZoVZb/cfVDFEZusZmwHoZw==,,
Use the += operator to create a new tuple and add contents to it in fibonacci.py,append(,1,false,true,,Rc9Hc3YcbAwPRaxiorY2XA==,fibonaccicreator/fibonaccicreator/fibonacci.py,
"Complete all TODOs, remove the TODO markers, and rewrite comments for the reflection",TODO,0,true,true,,p5K7+j/WnpdDSeiVoM6iFA==,writing/reflection.md,
"Complete all TODOs, remove the TODO markers, and rewrite comments for fibonacci.py",TODO,0,true,true,,wC69ew7NwVXVb1dj2hr23w==,fibonaccicreator/fibonaccicreator/fibonacci.py,
