org-name,repo-name,file-name,uid,amount_correct,percentage_score,report_time
allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230707-22-44,33x/IdA+veSNbwwV+sZAeg==,24,53,2023-07-07 14:44:16
allegheny-haunted-classroom,object-oriented-Yanqiao4396,insight-20230629-00,mZPZSbWInH7C7NJAM+UA3w==,12,55,
allegheny-college-sandbox,branch-write-test-Yanqiao4396,insight-20230628-23,e3xQoIBn3JNKWAA3CFsBDQ==,5,83,
allegheny-college-sandbox,content-search-Yanqiao4396,hello-action-20230629-00,cZdEgIWQoeIofDdrYH/Afg==,14,54,
allegheny-college-sandbox,branch-write-test-Yanqiao4396,insight-20230711-05,jXWJ09jdaXPRqtmSdda6IA==,6,100,2023-07-10 21:58:58
allegheny-haunted-classroom,data-abstraction-Yanqiao4396,hello-action-20230707-23,inxu6J85kI1o0GMSeSb7NQ==,5,83,2023-07-07 15:01:19
allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230709-04-35,Rc9Hc3YcbAwPRaxiorY2XA==,42,93,2023-07-08 20:35:26
allegheny-college-sandbox,branch-write-test-Yanqiao4396,insight-20230629-00,ZoVZb/cfVDFEZusZmwHoZw==,5,83,
allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230707-22,p5K7+j/WnpdDSeiVoM6iFA==,24,53,2023-07-07 14:38:25
allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230707-23-03,b6vKWo8XetQV73efl+7ZIA==,24,53,2023-07-07 15:03:46
allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230709-04-01,2zdwxa4w1RzMTPppmcTgrA==,41,91,2023-07-08 20:01:28
allegheny-haunted-classroom,data-abstraction-Yanqiao4396,hello-action-20230707-22,etStjSr28Qe6nwdZLHSAew==,5,83,2023-07-07 14:45:35
allegheny-haunted-classroom,object-oriented-Yanqiao4396,insight-20230707-22,nS+BKKonuI3r3x6z9BOXLw==,13,59,2023-07-07 14:57:43
allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230709-03-58,wC69ew7NwVXVb1dj2hr23w==,26,58,2023-07-08 19:58:27
